,portfolio_return,benchmark_return,regime,portfolio_growth,benchmark_growth
2014-02-28,0.046884354356935644,0.04551602970685842,Growth,1.0468843543569357,1.0455160297068584
2014-03-31,0.004340868319823332,0.008295491628732776,Growth,1.0514287414852825,1.0541890991789975
2014-04-30,0.002898913972771733,0.006951401131660928,Growth,1.054476742955348,1.061517190476015
2014-05-31,0.024371025793989403,0.02320637011353277,Growth,1.0801754228570748,1.0861511512800788
2014-06-30,0.019868346338164585,0.020644776203780024,Growth,1.1016367222643726,1.108574498721734
2014-07-31,-0.013334764174304714,-0.013437276522775043,Growth,1.0869466563672232,1.0936782766363133
2014-08-31,0.04049761470735017,0.03946325975160514,Growth,1.1309654032642256,1.1368383865519
2014-09-30,-0.01324187692016543,-0.01379610957645283,Growth,1.1159892985932354,1.1211544396003121
2014-10-31,0.027670094074139784,0.02355056307063519,Growth,1.1468688274710432,1.147558257942042
2014-11-30,0.03354998997646564,0.027471809595292607,Growth,1.1853462651370177,1.1790837599037314
2014-12-31,-0.0010817488089510225,-0.002536429517997263,Growth,1.1840640182265112,1.1760930970509202
2015-01-31,-0.025663024807790973,-0.029629139587930897,Mixed,1.1536773539527516,1.1412464705099965
2015-02-28,0.046071953219744846,0.056204621182660786,Mixed,1.206829523034742,1.2053897960610596
2015-03-31,-0.013511692546849785,-0.01570577189319544,Mixed,1.190523213563035,1.1864582188817392
2015-04-30,0.007528687381536532,0.009834259499924114,Mixed,1.1994862906584134,1.19812615689204
2015-05-31,0.010573858656950085,0.012856265302361392,Mixed,1.212169489156785,1.2135295846307428
2015-06-30,-0.02217825606881227,-0.020312427843800163,Mixed,1.1852856838274644,1.188879852506614
2015-07-31,0.023257602475063956,0.022589182849859002,Mixed,1.2128525870813078,1.2157356768813994
2015-08-31,-0.05914734960130728,-0.06094977307798655,Mixed,1.1411155710983598,1.1416368632526657
2015-09-30,-0.022611361839410336,-0.02551622144487664,Mixed,1.1153133940196693,1.1125066042402763
2015-10-31,0.07686049985776586,0.08505943401451166,Mixed,1.2010369389820823,1.2071357863343604
2015-11-30,0.0015735108806657072,0.003655172594001055,Mixed,1.2029267836736521,1.2115480759778077
2015-12-31,-0.016265842372770747,-0.017282546013587696,Mixed,1.1833601662244324,1.1906094406070475
2016-01-31,-0.04007550659851821,-0.04978642787069265,Inflationary,1.1359364080744816,1.131333249570099
2016-02-29,-0.00584301062810913,-0.0008258335914643755,Inflationary,1.1292991195692463,1.1303989565694634
